,Player,Salary
63,Julius Randle,"$18,000,000"
65,Derrick Favors,"$17,650,000"
66,Andre Iguodala,"$17,185,185"
67,Evan Fournier,"$17,150,000"
68,Bismack Biyombo,"$17,000,000"
68,Bojan Bogdanovic,"$17,000,000"
70,Clint Capela,"$16,896,552"
71,Gorgui Dieng,"$16,229,213"
72,Ricky Rubio,"$16,200,000"
73,Jonas Valanciunas,"$16,000,000"
74,Brandon Knight,"$15,643,750"
75,Eric Bledsoe,"$15,625,000"
75,Kelly Oubre,"$15,625,000"
77,Dennis Schroeder,"$15,500,000"
78,Ian Mahinmi,"$15,450,051"
79,James Johnson,"$15,349,400"
80,Marcus Morris,"$15,000,000"
80,Bobby Portis,"$15,000,000"
82,Danny Green,"$14,634,147"
83,Rudy Gay,"$14,500,000"
84,Cody Zeller,"$14,471,910"
85,Eric Gordon,"$14,057,730"
86,Mason Plumlee,"$14,041,096"
87,JJ Redick,"$13,486,300"
88,Jordan Clarkson,"$13,437,500"
89,Dewayne Dedmon,"$13,333,334"
90,Solomon Hill,"$13,290,395"
91,Justise Winslow,"$13,000,000"
92,Thaddeus Young,"$12,900,000"
93,Will Barton,"$12,776,786"
94,Courtney Lee,"$12,759,670"
95,Larry Nance Jr,"$12,727,273"
96,Patrick Mills,"$12,678,571"
97,Kelly Olynyk,"$12,667,885"
98,Marcus Smart,"$12,553,571"
99,Terrence Ross,"$12,500,000"
100,Patrick Beverley,"$12,345,680"
101,Trevor Ariza,"$12,200,000"
102,Brook Lopez,"$12,093,024"
103,Jusuf Nurkic,"$12,000,000"
103,Cory Joseph,"$12,000,000"
105,Joe Ingles,"$11,454,546"
106,Tony Snell,"$11,392,857"
107,Robert Covington,"$11,301,219"
108,Meyers Leonard,"$11,286,515"
109,TJ Warren,"$11,060,000"
110,Moe Harkless,"$11,011,234"
111,Andre Roberson,"$10,740,740"
112,Spencer Dinwiddie,"$10,605,600"
113,Jeremy Lamb,"$10,500,000"
114,Dwight Powell,"$10,259,375"
115,George Hill,"$10,133,907"
116,Josh Richardson,"$10,116,576"
116,Norman Powell,"$10,116,576"
118,Tyus Jones,"$10,116,000"
119,Tomas Satoransky,"$10,000,000"
120,DeAndre Jordan,"$9,881,598"
121,Zion Williamson,"$9,757,440"
122,Markelle Fultz,"$9,745,200"
123,John Henson,"$9,732,396"
124,Matthew Dellavedova,"$9,607,500"
125,Dante Exum,"$9,600,000"
126,Deandre Ayton,"$9,562,920"
127,Delon Wright,"$9,473,684"
128,Jerami Grant,"$9,346,153"
128,Fred VanVleet,"$9,346,153"
130,Al-Farouq Aminu,"$9,258,000"
131,Kyle Anderson,"$9,073,050"
132,Taj Gibson,"$9,000,000"
133,Ja Morant,"$8,730,240"
134,Lonzo Ball,"$8,719,320"
135,E'Twaun Moore,"$8,664,928"
136,Marvin Bagley,"$8,556,120"
137,Bogdan Bogdanovic,"$8,529,386"
138,PJ Tucker,"$8,349,039"
139,Cristiano Felicio,"$8,156,500"
140,Kentavious Caldwell-Pope,"$8,139,282"
141,Ben Simmons,"$8,113,929"
142,Maxi Kleber,"$8,000,000"
142,Louis Williams,"$8,000,000"
142,Elfrid Payton,"$8,000,000"
142,Wayne Ellington,"$8,000,000"
142,Thomas Bryant,"$8,000,000"
147,RJ Barrett,"$7,839,960"
148,Jayson Tatum,"$7,830,000"
149,Jae Crowder,"$7,815,533"
150,Luka Doncic,"$7,683,360"
151,Joe Harris,"$7,666,667"
152,Seth Curry,"$7,461,380"
153,DeMarre Carroll,"$7,339,258"
154,Langston Galloway,"$7,333,333"
154,Doug McDermott,"$7,333,333"
156,Derrick Rose,"$7,317,074"
157,Brandon Ingram,"$7,265,485"
158,Darius Miller,"$7,250,000"
158,DJ Augustin,"$7,250,000"
160,De'Andre Hunter,"$7,068,360"
161,Josh Jackson,"$7,059,480"
162,Ersan Ilyasova,"$7,000,000"
162,Davis Bertans,"$7,000,000"
164,Jaren Jackson Jr,"$6,927,480"
165,Nemanja Bjelica,"$6,825,000"
166,Jaylen Brown,"$6,534,829"
167,Jabari Parker,"$6,500,000"
168,Ivica Zubac,"$6,481,482"
169,Darius Garland,"$6,400,920"
170,De'Aaron Fox,"$6,392,760"
171,Trae Young,"$6,273,000"
172,Montrezl Harrell,"$6,000,000"
172,Ishmael Smith,"$6,000,000"
174,Marco Belinelli,"$5,846,154"
175,Jarrett Culver,"$5,813,640"
176,Jonathan Isaac,"$5,806,440"
177,Rodney Hood,"$5,718,000"
178,Mo Bamba,"$5,697,600"
179,Trey Lyles,"$5,500,000"
180,Aron Baynes,"$5,453,280"
181,Kris Dunn,"$5,348,007"
182,Coby White,"$5,307,120"
183,Lauri Markkanen,"$5,300,400"
184,Wendell Carter,"$5,201,400"
185,Daniel Theis,"$5,000,000"
185,Luol Deng,"$5,000,000"
187,Jaxson Hayes,"$4,862,040"
188,Buddy Hield,"$4,861,207"
189,Frank Ntilikina,"$4,855,800"
190,Rodney McGruder,"$4,807,693"
191,Enes Kanter,"$4,767,000"
191,Garrett Temple,"$4,767,000"
191,Justin Holiday,"$4,767,000"
191,JaMychal Green,"$4,767,000"
191,Avery Bradley,"$4,767,000"
191,Robin Lopez,"$4,767,000"
191,Mike Scott,"$4,767,000"
191,Frank Kaminsky,"$4,767,000"
191,Richaun Holmes,"$4,767,000"
191,Ed Davis,"$4,767,000"
201,Collin Sexton,"$4,764,960"
202,Rui Hachimura,"$4,469,160"
203,Kevon Looney,"$4,464,286"
204,Dennis Smith,"$4,463,640"
205,Jamal Murray,"$4,444,746"
206,Kevin Knox,"$4,380,120"
207,Cam Reddish,"$4,245,720"
208,Zach Collins,"$4,240,200"
209,Mikal Bridges,"$4,161,000"
210,Alex Len,"$4,160,000"
211,Nicolo Melli,"$4,102,564"
212,Cameron Johnson,"$4,033,440"
213,Malik Monk,"$4,028,400"
214,Dorian Finney-Smith,"$4,000,000"
214,JaVale McGee,"$4,000,000"
214,Reggie Bullock,"$4,000,000"
214,Patrick McCaw,"$4,000,000"
218,Shai Gilgeous-Alexander,"$3,952,920"
219,PJ Washington,"$3,831,840"
220,Luke Kennard,"$3,827,160"
221,Miles Bridges,"$3,755,400"
222,Jakob Poeltl,"$3,754,885"
223,Tyler Herro,"$3,640,200"
224,Donovan Mitchell,"$3,635,760"
225,Stanley Johnson,"$3,623,000"
226,Jake Layman,"$3,581,986"
227,Thon Maker,"$3,569,643"
228,Jerome Robinson,"$3,567,720"
229,Danuel House,"$3,540,000"
230,Domantas Sabonis,"$3,529,554"
231,Boban Marjanovic,"$3,500,000"
231,TJ McConnell,"$3,500,000"
231,DeMarcus Cousins,"$3,500,000"
234,Taurean Prince,"$3,481,985"
234,Dario Saric,"$3,481,985"
236,Romeo Langford,"$3,458,400"
237,Bam Adebayo,"$3,454,080"
238,Michael Porter,"$3,389,400"
239,Denzel Valentine,"$3,377,568"
240,Juan Hernangomez,"$3,321,029"
241,Sekou Doumbouya,"$3,285,120"
242,Justin Jackson,"$3,280,920"
243,Troy Brown,"$3,219,480"
244,Yogi Ferrell,"$3,150,000"
245,Zhaire Smith,"$3,058,800"
246,Ryan Arcidiacono,"$3,000,000"
246,Quinn Cook,"$3,000,000"
246,Khem Birch,"$3,000,000"
249,Nickeil Alexander-Walker,"$2,964,840"
250,DJ Wilson,"$2,961,120"
251,Cedi Osman,"$2,907,143"
252,Donte DiVincenzo,"$2,905,800"
253,Bryn Forbes,"$2,875,000"
254,Goga Bitadze,"$2,816,760"
255,TJ Leaf,"$2,813,280"
256,Lonnie Walker,"$2,764,200"
257,Alex Caruso,"$2,750,000"
258,Malik Beasley,"$2,731,713"
259,Luka Samanic,"$2,689,920"
260,John Collins,"$2,686,560"
261,Kevin Huerter,"$2,636,280"
262,Caris LeVert,"$2,625,717"
263,Marko Guduric,"$2,625,000"
264,DeAndre Bembry,"$2,603,981"
265,Matisse Thybulle,"$2,582,160"
266,Harry Giles,"$2,578,800"
267,Vince Carter,"$2,564,753"
267,Wilson Chandler,"$2,564,753"
267,Jose Juan Barea,"$2,564,753"
267,Thabo Sefolosha,"$2,564,753"
267,Tyson Chandler,"$2,564,753"
267,Dwight Howard,"$2,564,753"
267,Rajon Rondo,"$2,564,753"
267,Jared Dudley,"$2,564,753"
267,Udonis Haslem,"$2,564,753"
267,Kyle Korver,"$2,564,753"
267,Wesley Matthews,"$2,564,753"
278,Josh Okogie,"$2,530,680"
279,Vincent Poirier,"$2,505,793"
280,Rondae Hollis-Jefferson,"$2,500,000"
281,Brandon Clarke,"$2,478,840"
282,Terrance Ferguson,"$2,475,840"
283,Grayson Allen,"$2,429,400"
284,Alfonzo McKinnie,"$2,391,985"
285,Grant Williams,"$2,379,840"
286,Jarrett Allen,"$2,376,840"
287,Pascal Siakam,"$2,351,838"
288,Skal Labissiere,"$2,338,846"
289,Chandler Hutchison,"$2,332,320"
290,Patrick Patterson,"$2,331,593"
291,Dejounte Murray,"$2,321,735"
292,Alec Burks,"$2,320,044"
293,Damian Jones,"$2,305,057"
294,Darius Bazley,"$2,284,800"
295,Ante Zizic,"$2,281,800"
295,OG Anunoby,"$2,281,800"
297,Markieff Morris,"$2,259,887"
298,Luke Kornet,"$2,250,000"
299,Aaron Holiday,"$2,239,200"
300,Ty Jerome,"$2,193,480"
301,Willie Cauley-Stein,"$2,177,483"
302,Kyle O'Quinn,"$2,174,318"
303,Austin Rivers,"$2,174,310"
304,Carmelo Anthony,"$2,159,029"
305,Anfernee Simons,"$2,149,560"
306,Nassir Little,"$2,105,520"
307,Moritz Wagner,"$2,063,520"
308,Dylan Windler,"$2,035,800"
309,Caleb Swanigan,"$2,033,160"
310,Ben McLemore,"$2,028,594"
310,Mike Muscala,"$2,028,594"
310,Michael Carter-Williams,"$2,028,594"
313,Noah Vonleh,"$2,000,000"
313,Torrey Craig,"$2,000,000"
313,Edmond Sumner,"$2,000,000"
316,Landry Shamet,"$1,995,120"
317,Mfiondu Kabengele,"$1,977,000"
318,Kyle Kuzma,"$1,974,600"
319,Jordan Poole,"$1,964,760"
320,Tony Bradley,"$1,962,360"
321,Keldon Johnson,"$1,950,600"
322,Derrick White,"$1,948,080"
323,Robert Williams,"$1,937,520"
324,Josh Hart,"$1,934,160"
325,Jacob Evans,"$1,925,880"
326,Dzanan Musa,"$1,911,600"
327,Omari Spellman,"$1,897,800"
328,Nerlens Noel,"$1,882,867"
328,James Ennis,"$1,882,867"
328,Glenn Robinson III,"$1,882,867"
331,Bruno Caboclo,"$1,845,301"
331,Shabazz Napier,"$1,845,301"
333,JR Smith,"$1,746,470"
334,JaKarr Sampson,"$1,737,145"
334,Raul Neto,"$1,737,145"
334,Mario Hezonja,"$1,737,145"
334,Emmanuel Mudiay,"$1,737,145"
338,Pat Connaughton,"$1,723,050"
339,Jahlil Okafor,"$1,702,486"
340,Rodions Kurucs,"$1,699,236"
341,Cheick Diallo,"$1,678,854"
342,Willy Hernangomez,"$1,676,735"
343,Treveon Graham,"$1,645,357"
343,Christian Wood,"$1,645,357"
343,Derrick Jones,"$1,645,357"
343,Georges Niang,"$1,645,357"
347,Shaquille Harrison,"$1,620,564"
347,Furkan Korkmaz,"$1,620,564"
349,Semi Ojeleye,"$1,618,520"
349,Dwayne Bacon,"$1,618,520"
349,Dillon Brooks,"$1,618,520"
349,Sterling Brown,"$1,618,520"
349,Frank Jackson,"$1,618,520"
349,Damyean Dotson,"$1,618,520"
349,Abdel Nader,"$1,618,520"
349,Wesley Iwundu,"$1,618,520"
349,Royce O'Neale,"$1,618,520"
358,Monte Morris,"$1,588,231"
358,Malcolm Miller,"$1,588,231"
358,Chris Boucher,"$1,588,231"
361,Mitchell Robinson,"$1,559,712"
362,Isaiah Roby,"$1,500,000"
362,Nigel Williams-Goss,"$1,500,000"
364,Brad Wanamaker,"$1,445,697"
364,Thanasis Antetokounmpo,"$1,445,697"
364,Theo Pinson,"$1,445,697"
364,Shake Milton,"$1,445,697"
364,Wenyen Gabriel,"$1,445,697"
369,Devonte Graham,"$1,416,852"
369,Jalen Brunson,"$1,416,852"
369,Keita Bates-Diop,"$1,416,852"
369,Sviatoslav Mykhailiuk,"$1,416,852"
369,Khyri Thomas,"$1,416,852"
369,Bruce Brown,"$1,416,852"
369,Alize Johnson,"$1,416,852"
369,De'Anthony Melton,"$1,416,852"
369,Kendrick Nunn,"$1,416,852"
369,Duncan Robinson,"$1,416,852"
369,Jarred Vanderbilt,"$1,416,852"
369,Kenrich Williams,"$1,416,852"
369,Hamidou Diallo,"$1,416,852"
369,Deonte Burton,"$1,416,852"
369,Melvin Frazier,"$1,416,852"
369,Ryan Broekhoff,"$1,416,852"
369,Jevon Carter,"$1,416,852"
369,Elie Okobo,"$1,416,852"
369,Gary Trent Jr,"$1,416,852"
369,Chimezie Metu,"$1,416,852"
369,Isaac Bonga,"$1,416,852"
390,Bruno Fernando,"$1,400,000"
390,Jaylen Nowell,"$1,400,000"
392,Kevin Porter,"$1,290,960"
393,Jordan McRae,"$1,254,933"
394,Carsen Edwards,"$1,228,026"
395,Cody Martin,"$1,173,310"
396,Gary Payton II,"$1,052,909"
397,Terance Mann,"$1,000,000"
397,Admiral Schofield,"$1,000,000"
399,David Nwaba,"$903,111"
400,Javonte Green,"$898,310"
400,Nicolas Claxton,"$898,310"
400,Jalen McDaniels,"$898,310"
400,Caleb Martin,"$898,310"
400,Daniel Gafford,"$898,310"
400,Vlatko Cancar,"$898,310"
400,Alen Smailagic,"$898,310"
400,Eric Paschall,"$898,310"
400,Talen Horton-Tucker,"$898,310"
400,KZ Okpala,"$898,310"
400,Naz Reid,"$898,310"
400,Ignas Brazdeikis,"$898,310"
400,Jalen Lecque,"$898,310"
400,DaQuan Jeffries,"$898,310"
400,Justin James,"$898,310"
400,Matt Thomas,"$898,310"
400,Terence Davis,"$898,310"
400,Dewan Hernandez,"$898,310"
400,Miye Oni,"$898,310"
419,Damion Lee,"$842,327"
420,Jeff Green,"$840,427"
421,Timothe Luwawu,"$837,583"
422,Juwan Morgan,"$746,054"
423,Gary Clark,"$718,765"
424,Marvin Williams,"$604,278"
425,Michael Kidd-Gilchrist,"$595,122"
426,Rayjon Tucker,"$578,573"
427,Chris Clemons,"$563,346"
428,Brandon Goodwin,"$522,738"
429,Reggie Jackson,"$512,721"
430,Justin Patton,"$483,115"
431,Anzejs Pasecniks,"$482,144"
432,Chris Silva,"$466,918"
433,Troy Daniels,"$458,439"
434,Anthony Tolliver,"$434,704"
435,Joakim Noah,"$381,360"
436,Dion Waiters,"$375,385"
437,Dean Wade,"$375,000"
438,Ky Bowman,"$350,189"
438,Juan Toscano-Anderson,"$350,189"
438,Norvel Pelle,"$350,189"
441,Jamal Crawford,"$289,803"
442,Jordan Bell,"$250,000"
443,Tyler Zeller,"$245,686"
444,Trey Burke,"$229,220"
445,Jontay Porter,"$197,933"
446,Cameron Payne,"$196,288"
446,Jerian Grant,"$196,288"
448,Dragan Bender,"$189,700"
449,Mychal Mulder,"$187,782"
450,Tyler Johnson,"$183,115"
450,PJ Dozier,"$183,115"
450,Sindarius Thornwell,"$183,115"
450,Corey Brewer,"$183,115"
454,Joe Chealey,"$163,356"
454,Jaylen Adams,"$163,356"
456,Johnathan Williams,"$161,245"
457,Luguentz Dort,"$155,647"
458,Oshae Brissett,"$129,568"
459,JP Macura,"$106,181"
460,Donta Hall,"$101,504"
461,Sheldon Mac,"$91,557"
461,Chasson Randle,"$91,557"
463,Jonah Bolden,"$89,846"
464,Derrick Walton,"$81,678"
465,Charlie Brown,"$79,568"
465,Tacko Fall,"$79,568"
465,Tremont Waters,"$79,568"
465,Jeremiah Martin,"$79,568"
465,Chris Chiozza,"$79,568"
465,Raymond Spalding,"$79,568"
465,Kobi Simmons,"$79,568"
465,Max Strus,"$79,568"
465,Adam Mokoka,"$79,568"
465,Matt Mooney,"$79,568"
465,Josh Reaves,"$79,568"
465,Antonius Cleveland,"$79,568"
465,Bol Bol,"$79,568"
465,Tyler Cook,"$79,568"
465,Jordan Bone,"$79,568"
465,Louis King,"$79,568"
465,Michael Frazier,"$79,568"
465,William Howard,"$79,568"
465,Naz Long,"$79,568"
465,Brian Bowen,"$79,568"
465,Johnathan Motley,"$79,568"
465,Amir Coffey,"$79,568"
465,Devontae Cacok,"$79,568"
465,Kostas Antetokounmpo,"$79,568"
465,John Konchar,"$79,568"
465,Yuta Watanabe,"$79,568"
465,Kyle Alexander,"$79,568"
465,Gabe Vincent,"$79,568"
465,Cam Reynolds,"$79,568"
465,Frank Mason,"$79,568"
465,Kelan Martin,"$79,568"
465,Jordan McLaughlin,"$79,568"
465,Zylan Cheatham,"$79,568"
465,Josh Gray,"$79,568"
465,Kenny Wooten,"$79,568"
465,Jared Harper,"$79,568"
465,Kevin Hervey,"$79,568"
465,Vic Law,"$79,568"
465,BJ Johnson,"$79,568"
465,Marial Shayok,"$79,568"
465,Tariq Owens,"$79,568"
465,Moses Brown,"$79,568"
465,Jaylen Hoard,"$79,568"
465,Kyle Guy,"$79,568"
465,Drew Eubanks,"$79,568"
465,Quinndary Weatherspoon,"$79,568"
465,Paul Watson,"$79,568"
465,Jarrell Brantley,"$79,568"
465,Justin Wright-Foreman,"$79,568"
465,Garrison Mathews,"$79,568"
515,Malik Newman,"$65,978"
