,Player,Salary
62,Lonzo Ball,"$18,604,651"
63,Clint Capela,"$18,603,448"
64,Domantas Sabonis,"$18,500,000"
65,Eric Gordon,"$18,218,818"
66,Eric Bledsoe,"$18,125,000"
67,Bogdan Bogdanovic,"$18,000,000"
67,Myles Turner,"$18,000,000"
69,Terry Rozier,"$17,905,263"
70,Ricky Rubio,"$17,800,000"
71,Caris LeVert,"$17,500,000"
72,Jonathan Isaac,"$17,400,000"
73,Joe Harris,"$17,357,143"
74,Spencer Dinwiddie,"$17,142,857"
74,Evan Fournier,"$17,142,857"
76,Steven Adams,"$17,073,171"
77,Markelle Fultz,"$16,500,000"
78,Aaron Gordon,"$16,409,091"
79,OG Anunoby,"$16,071,429"
80,Gary Trent Jr,"$16,000,000"
80,Davis Bertans,"$16,000,000"
82,Lauri Markkanen,"$15,690,909"
83,Derrick White,"$15,678,571"
84,Duncan Robinson,"$15,650,000"
85,Marcus Morris,"$15,627,907"
86,Will Barton,"$15,625,000"
87,Norman Powell,"$15,517,242"
88,Dejounte Murray,"$15,428,880"
89,Malik Beasley,"$14,491,964"
90,Marcus Smart,"$14,339,285"
91,Patrick Beverley,"$14,320,987"
92,Thaddeus Young,"$14,190,000"
93,Jonas Valanciunas,"$14,000,000"
94,Doug McDermott,"$13,750,000"
95,Christian Wood,"$13,666,667"
96,Derrick Rose,"$13,445,120"
97,Luke Kennard,"$13,347,727"
98,Brook Lopez,"$13,302,325"
99,Kentavious Caldwell-Pope,"$13,038,862"
100,Joe Ingles,"$13,036,364"
101,Kyle Kuzma,"$13,000,000"
101,Taurean Prince,"$13,000,000"
103,Robert Covington,"$12,975,471"
104,TJ Warren,"$12,940,000"
105,Deandre Ayton,"$12,632,950"
106,Terrence Ross,"$12,500,000"
107,Jordan Clarkson,"$12,420,000"
108,Dillon Brooks,"$12,200,000"
109,Kelly Olynyk,"$12,195,122"
110,Nicolas Batum,"$12,026,998"
111,Josh Hart,"$12,000,000"
111,Kelly Oubre,"$12,000,000"
111,Jusuf Nurkic,"$12,000,000"
114,Josh Richardson,"$11,615,328"
115,Marvin Bagley,"$11,312,114"
116,DeAndre Jordan,"$11,109,327"
117,Dwight Powell,"$11,080,125"
118,Devonte Graham,"$11,000,000"
119,Zion Williamson,"$10,733,400"
120,Larry Nance Jr,"$10,690,909"
121,Jeremy Lamb,"$10,500,000"
122,Reggie Jackson,"$10,384,500"
122,Richaun Holmes,"$10,384,500"
124,Al-Farouq Aminu,"$10,335,621"
125,Anthony Edwards,"$10,245,480"
126,Luka Doncic,"$10,174,391"
127,Cade Cunningham,"$10,050,120"
128,Danny Green,"$10,000,000"
128,Tomas Satoransky,"$10,000,000"
130,Tristan Thompson,"$9,946,611"
131,Kyle Anderson,"$9,937,150"
132,Derrick Favors,"$9,720,900"
132,Jae Crowder,"$9,720,900"
132,Montrezl Harrell,"$9,720,900"
132,Derrick Jones,"$9,720,900"
132,Serge Ibaka,"$9,720,900"
137,Ja Morant,"$9,603,360"
138,Reggie Bullock,"$9,536,000"
138,Alec Burks,"$9,536,000"
140,Talen Horton-Tucker,"$9,500,000"
141,Mason Plumlee,"$9,248,333"
142,Jaren Jackson Jr,"$9,180,560"
143,James Wiseman,"$9,166,800"
144,Jalen Green,"$8,992,080"
145,Maxi Kleber,"$8,825,000"
146,De'Anthony Melton,"$8,805,976"
147,Nerlens Noel,"$8,800,000"
147,Royce O'Neale,"$8,800,000"
149,Jakob Poeltl,"$8,750,000"
150,Thomas Bryant,"$8,666,667"
151,RJ Barrett,"$8,623,920"
152,Alex Caruso,"$8,600,000"
153,Delon Wright,"$8,526,316"
154,Dario Saric,"$8,510,000"
155,Monte Morris,"$8,449,074"
156,Tyus Jones,"$8,376,286"
157,Trae Young,"$8,326,471"
158,Daniel Theis,"$8,280,351"
159,LaMelo Ball,"$8,231,760"
160,Seth Curry,"$8,207,518"
161,JaMychal Green,"$8,200,000"
162,Cedi Osman,"$8,133,334"
163,Evan Mobley,"$8,075,160"
164,De'Andre Hunter,"$7,775,400"
165,DJ Augustin,"$7,622,467"
166,Mo Bamba,"$7,568,743"
167,Ivica Zubac,"$7,518,518"
168,TJ McConnell,"$7,500,000"
168,Rajon Rondo,"$7,500,000"
170,Patrick Williams,"$7,422,000"
171,Cory Joseph,"$7,310,000"
172,Scottie Barnes,"$7,280,400"
173,Darius Garland,"$7,040,880"
174,Chris Boucher,"$7,020,000"
175,PJ Tucker,"$7,000,000"
175,Zach Collins,"$7,000,000"
177,Wendell Carter,"$6,920,027"
178,Juan Hernangomez,"$6,907,815"
179,Isaac Okoro,"$6,720,720"
180,Jalen Suggs,"$6,592,920"
181,Cameron Payne,"$6,500,000"
182,Joakim Noah,"$6,431,666"
183,Jarrett Culver,"$6,395,160"
184,Khem Birch,"$6,350,000"
185,Collin Sexton,"$6,349,671"
186,Onyeka Okongwu,"$6,104,280"
187,Justin Holiday,"$6,006,420"
188,Josh Giddey,"$5,988,000"
189,Patrick Mills,"$5,890,000"
189,Rudy Gay,"$5,890,000"
189,Dennis Schroeder,"$5,890,000"
192,Kevin Knox,"$5,845,978"
193,Coby White,"$5,837,760"
194,Timofey Mozgov,"$5,573,333"
195,Killian Hayes,"$5,572,680"
196,Mikal Bridges,"$5,557,725"
197,Shai Gilgeous-Alexander,"$5,495,532"
198,Jonathan Kuminga,"$5,466,360"
199,Miles Bridges,"$5,421,493"
200,Jaxson Hayes,"$5,348,280"
201,Pat Connaughton,"$5,333,334"
202,Kris Dunn,"$5,317,430"
203,George Hill,"$5,275,491"
204,Michael Porter,"$5,258,735"
205,Dewayne Dedmon,"$5,256,308"
206,Ryan Anderson,"$5,214,583"
207,Hamidou Diallo,"$5,200,000"
208,Kevon Looney,"$5,178,572"
209,Troy Brown,"$5,170,564"
210,Obi Toppin,"$5,105,160"
211,Franz Wagner,"$5,007,840"
212,Josh Jackson,"$5,005,350"
213,Kendrick Nunn,"$5,000,000"
213,Louis Williams,"$5,000,000"
213,Luol Deng,"$5,000,000"
213,Robin Lopez,"$5,000,000"
213,JaVale McGee,"$5,000,000"
218,Danuel House,"$4,997,424"
219,Rui Hachimura,"$4,916,160"
220,Garrett Temple,"$4,910,000"
220,Taj Gibson,"$4,910,000"
222,Torrey Craig,"$4,878,049"
223,Bruce Brown,"$4,736,102"
224,Deni Avdija,"$4,692,840"
225,Donte DiVincenzo,"$4,675,830"
226,Cam Reddish,"$4,670,160"
227,David Nwaba,"$4,650,000"
228,Furkan Korkmaz,"$4,629,630"
229,Davion Mitchell,"$4,603,200"
230,Ishmael Smith,"$4,500,000"
230,Jeff Green,"$4,500,000"
230,Bryn Forbes,"$4,500,000"
233,Jalen Smith,"$4,458,000"
234,Lonnie Walker,"$4,447,896"
235,Cameron Johnson,"$4,437,000"
236,Ziaire Williams,"$4,373,040"
237,Bobby Portis,"$4,347,600"
237,Moe Harkless,"$4,347,600"
239,Kevin Huerter,"$4,253,357"
240,Devin Vassell,"$4,235,160"
241,Chandler Hutchison,"$4,224,186"
242,Willie Cauley-Stein,"$4,220,083"
243,PJ Washington,"$4,215,120"
244,James Bouknight,"$4,154,400"
245,Jevon Carter,"$4,107,149"
246,Josh Okogie,"$4,087,904"
247,Grayson Allen,"$4,054,695"
248,Jarred Vanderbilt,"$4,050,000"
249,Tyrese Haliburton,"$4,023,600"
250,Tyler Herro,"$4,004,280"
251,Dorian Finney-Smith,"$4,000,000"
251,Terence Davis,"$4,000,000"
251,Gorgui Dieng,"$4,000,000"
254,Aaron Holiday,"$3,980,551"
255,Josh Primo,"$3,946,800"
256,Jake Layman,"$3,940,184"
257,Anfernee Simons,"$3,938,818"
258,Justise Winslow,"$3,902,439"
259,Kira Lewis,"$3,822,240"
260,Romeo Langford,"$3,804,360"
261,Sekou Doumbouya,"$3,799,131"
262,Landry Shamet,"$3,768,342"
263,Chris Duarte,"$3,749,400"
264,Alex Len,"$3,732,000"
265,Robert Williams,"$3,661,976"
266,Aaron Nesmith,"$3,631,200"
267,Moses Moody,"$3,562,200"
268,Boban Marjanovic,"$3,500,000"
268,Mike Muscala,"$3,500,000"
270,Cole Anthony,"$3,449,400"
271,Corey Kispert,"$3,383,640"
272,Luka Samanic,"$3,355,239"
273,Georges Niang,"$3,300,000"
273,Michael Carter-Williams,"$3,300,000"
275,Isaiah Stewart,"$3,277,080"
275,Chuma Okeke,"$3,277,080"
277,Nickeil Alexander-Walker,"$3,261,480"
278,Alperen Sengun,"$3,214,680"
279,Facundo Campazzo,"$3,200,000"
280,Jon Leuer,"$3,169,348"
281,Trey Burke,"$3,150,000"
282,Aleksej Pokusevski,"$3,113,160"
283,Goga Bitadze,"$3,098,400"
284,Trey Murphy,"$3,053,760"
285,Sterling Brown,"$3,000,000"
285,Frank Jackson,"$3,000,000"
287,Josh Green,"$2,957,520"
288,Tre Mann,"$2,901,240"
289,Andrew Nicholson,"$2,844,429"
290,Matisse Thybulle,"$2,840,160"
291,Saddiq Bey,"$2,824,320"
292,Kai Jones,"$2,770,560"
293,Brandon Clarke,"$2,726,880"
294,Precious Achiuwa,"$2,711,280"
295,Marc Gasol,"$2,692,991"
296,Jalen Johnson,"$2,659,680"
297,LaMarcus Aldridge,"$2,641,691"
297,James Johnson,"$2,641,691"
297,Ed Davis,"$2,641,691"
297,Andre Iguodala,"$2,641,691"
297,Enes Kanter,"$2,641,691"
297,Carmelo Anthony,"$2,641,691"
297,Trevor Ariza,"$2,641,691"
297,Avery Bradley,"$2,641,691"
297,Wayne Ellington,"$2,641,691"
297,Dwight Howard,"$2,641,691"
297,Udonis Haslem,"$2,641,691"
297,Markieff Morris,"$2,641,691"
297,E'Twaun Moore,"$2,641,691"
297,Paul Millsap,"$2,641,691"
311,Grant Williams,"$2,617,800"
312,Tyrese Maxey,"$2,602,920"
313,Keon Johnson,"$2,553,240"
314,Darius Bazley,"$2,513,040"
315,Trey Lyles,"$2,500,000"
316,Zeke Nnaji,"$2,498,760"
317,Isaiah Jackson,"$2,451,240"
318,Ty Jerome,"$2,412,840"
319,Andre Drummond,"$2,401,537"
319,Austin Rivers,"$2,401,537"
319,Kent Bazemore,"$2,401,537"
319,Hassan Whiteside,"$2,401,537"
323,Otto Porter,"$2,389,641"
323,Victor Oladipo,"$2,389,641"
323,Tony Snell,"$2,389,641"
323,Solomon Hill,"$2,389,641"
323,Ben McLemore,"$2,389,641"
323,Cody Zeller,"$2,389,641"
329,Usman Garuba,"$2,353,320"
329,Leandro Bolmaro,"$2,353,320"
331,Willy Hernangomez,"$2,327,220"
332,Edmond Sumner,"$2,320,000"
333,Nassir Little,"$2,316,240"
334,RJ Hampton,"$2,303,040"
335,DeAndre Bembry,"$2,271,045"
336,Josh Christopher,"$2,259,240"
337,Monta Ellis,"$2,245,400"
338,Drew Eubanks,"$2,239,820"
339,Rodney Hood,"$2,239,544"
339,Elfrid Payton,"$2,239,544"
341,Dylan Windler,"$2,239,200"
342,Immanuel Quickley,"$2,210,640"
343,John Konchar,"$2,200,000"
344,Quentin Grimes,"$2,168,640"
345,Jordan Poole,"$2,161,440"
346,Bol Bol,"$2,161,152"
347,Keldon Johnson,"$2,145,720"
348,Payton Pritchard,"$2,137,440"
349,Jahlil Okafor,"$2,130,023"
350,Bones Hyland,"$2,096,880"
351,Nemanja Bjelica,"$2,089,448"
351,Frank Kaminsky,"$2,089,448"
351,Raul Neto,"$2,089,448"
354,Udoka Azubuike,"$2,075,880"
355,Jaden McDaniels,"$2,063,280"
356,Malachi Flynn,"$2,048,040"
357,DeMarcus Cousins,"$2,038,942"
358,Cam Thomas,"$2,036,280"
359,Desmond Bane,"$2,033,160"
360,Jaden Springer,"$2,023,680"
361,Day'Ron Sharpe,"$2,009,160"
362,Jordan McLaughlin,"$2,000,000"
362,Garrison Mathews,"$2,000,000"
362,Jeremiah Robinson-Earl,"$2,000,000"
362,Kenrich Williams,"$2,000,000"
362,Theo Maledon,"$2,000,000"
362,Abdel Nader,"$2,000,000"
368,Santiago Aldama,"$1,994,520"
369,Damian Jones,"$1,977,011"
370,Wesley Matthews,"$1,958,495"
371,Timothe Luwawu,"$1,939,350"
371,Rodney McGruder,"$1,939,350"
373,Moses Brown,"$1,933,909"
374,Wesley Iwundu,"$1,926,834"
375,Jose Alvarado,"$1,925,406"
376,Damion Lee,"$1,910,860"
376,PJ Dozier,"$1,910,860"
378,Killian Tillie,"$1,901,625"
379,Tyrell Terry,"$1,869,438"
380,Larry Sanders,"$1,865,546"
381,Carsen Edwards,"$1,859,365"
382,Shake Milton,"$1,846,738"
383,Jalen Brunson,"$1,802,057"
383,Mitchell Robinson,"$1,802,057"
385,Tony Bradley,"$1,789,256"
385,Frank Ntilikina,"$1,789,256"
385,Semi Ojeleye,"$1,789,256"
385,Malik Monk,"$1,789,256"
385,Dennis Smith,"$1,789,256"
390,Didi Louzada,"$1,786,878"
391,Kevin Porter,"$1,782,621"
391,Jalen McDaniels,"$1,782,621"
391,Terance Mann,"$1,782,621"
391,Jaylen Nowell,"$1,782,621"
391,Naz Reid,"$1,782,621"
391,Isaiah Roby,"$1,782,621"
391,Daniel Gafford,"$1,782,621"
391,Nicolas Claxton,"$1,782,621"
391,Cody Martin,"$1,782,621"
391,Dean Wade,"$1,782,621"
391,Vlatko Cancar,"$1,782,621"
391,Bruno Fernando,"$1,782,621"
391,Luguentz Dort,"$1,782,621"
391,KZ Okpala,"$1,782,621"
391,Eric Paschall,"$1,782,621"
406,Chimezie Metu,"$1,762,796"
406,Yuta Watanabe,"$1,762,796"
408,Armoni Brooks,"$1,739,065"
409,Thanasis Antetokounmpo,"$1,729,217"
409,Keita Bates-Diop,"$1,729,217"
409,Sviatoslav Mykhailiuk,"$1,729,217"
409,Isaiah Hartenstein,"$1,729,217"
409,Moritz Wagner,"$1,729,217"
409,Isaac Bonga,"$1,729,217"
415,Juan Toscano-Anderson,"$1,701,593"
415,Oshae Brissett,"$1,701,593"
417,Herb Jones,"$1,700,000"
418,Gabriel Deck,"$1,690,507"
419,Javonte Green,"$1,669,178"
419,Max Strus,"$1,669,178"
419,Gabe Vincent,"$1,669,178"
419,Matt Thomas,"$1,669,178"
419,Gary Payton II,"$1,669,178"
424,Robert Woodard,"$1,619,015"
425,Lance Stephenson,"$1,614,825"
426,Deividas Sirvydis,"$1,603,559"
426,Daniel Oturu,"$1,603,559"
428,Kevin Pangos,"$1,569,178"
429,Bismack Biyombo,"$1,518,213"
430,Nick Richards,"$1,517,981"
430,Lamar Stevens,"$1,517,981"
430,KJ Martin,"$1,517,981"
430,Xavier Tillman,"$1,517,981"
430,Naji Marshall,"$1,517,981"
430,Isaiah Joe,"$1,517,981"
430,Paul Reed,"$1,517,981"
430,Tre Jones,"$1,517,981"
430,Vernon Carey,"$1,517,981"
430,Jae'Sean Tate,"$1,517,981"
430,Sam Merrill,"$1,517,981"
430,Jordan Nwora,"$1,517,981"
430,CJ Elleby,"$1,517,981"
430,Elijah Hughes,"$1,517,981"
430,Jahmi'us Ramsey,"$1,517,981"
430,Anthony Gill,"$1,517,981"
446,Isaiah Todd,"$1,500,000"
447,Saben Lee,"$1,489,065"
447,Omer Yurtseven,"$1,489,065"
449,JR Smith,"$1,456,667"
450,Stanley Johnson,"$1,368,998"
451,Duane Washington Jr,"$1,346,676"
452,Aaron Wiggins,"$1,305,761"
453,Marquese Chriss,"$1,292,900"
454,JT Thor,"$1,250,000"
455,DeMarre Carroll,"$1,242,340"
456,Jabari Parker,"$1,168,286"
457,Alfonzo McKinnie,"$1,090,007"
458,Zhaire Smith,"$1,068,200"
459,Jason Preston,"$1,062,303"
460,Isaiah Livers,"$1,057,260"
461,Guerschon Yabusele,"$1,039,080"
462,Denzel Valentine,"$1,005,633"
463,Alize Johnson,"$1,003,740"
464,Kyle Singler,"$999,200"
465,Kelan Martin,"$993,760"
466,Miye Oni,"$946,261"
467,Ayo Dosunmu,"$925,258"
467,Marko Simonovic,"$925,258"
467,BJ Boston,"$925,258"
467,Austin Reaves,"$925,258"
467,Miles McBride,"$925,258"
467,Vit Krejci,"$925,258"
467,Charles Bassey,"$925,258"
467,Greg Brown,"$925,258"
467,Jock Landale,"$925,258"
467,Jared Butler,"$925,258"
467,Luka Garza,"$925,258"
467,Dalano Banton,"$925,258"
479,Daishen Nix,"$923,078"
480,Isaiah Thomas,"$910,926"
481,Terry Taylor,"$895,125"
482,Mamadi Diakite,"$869,078"
483,Caleb Martin,"$844,011"
484,Brad Wanamaker,"$814,918"
485,Luke Kornet,"$812,364"
486,Wayne Selden,"$812,363"
487,Gary Clark,"$811,213"
488,Ryan Arcidiacono,"$774,727"
489,Trendon Watford,"$768,830"
490,Patrick Patterson,"$737,067"
491,Devontae Cacok,"$726,128"
492,Admiral Schofield,"$723,741"
493,Ishmail Wainright,"$707,893"
494,Shaun Livingston,"$666,666"
495,Malik Fitts,"$630,874"
496,Sam Hauser,"$619,498"
497,Greg Monroe,"$612,805"
498,Amir Coffey,"$573,576"
499,Joe Wieskamp,"$563,663"
500,Keifer Sykes,"$558,345"
501,Haywood Highsmith,"$547,701"
502,Nik Stauskas,"$534,993"
503,Davon Reed,"$532,398"
504,Wenyen Gabriel,"$522,015"
505,Skylar Mays,"$510,907"
506,Georgios Kalaitzakis,"$499,852"
507,RJ Nembhard,"$491,876"
508,Chris Silva,"$479,650"
509,Kessler Edwards,"$463,211"
509,Trent Forrest,"$463,211"
511,Sharife Cooper,"$462,629"
511,Brodric Thomas,"$462,629"
511,David Duke,"$462,629"
511,Arnoldas Kulboka,"$462,629"
511,Scottie Lewis,"$462,629"
511,Tyler Cook,"$462,629"
511,Markus Howard,"$462,629"
511,Jamorko Pickett,"$462,629"
511,Sean Chris Smith,"$462,629"
511,Chris Chiozza,"$462,629"
511,Jay Scrubb,"$462,629"
511,Yves Pons,"$462,629"
511,Sandro Mamukelashvili,"$462,629"
511,Nathan Knight,"$462,629"
511,McKinley Wright,"$462,629"
511,Jericho Sims,"$462,629"
511,Ignas Brazdeikis,"$462,629"
511,Keljin Blevins,"$462,629"
511,Neemias Queta,"$462,629"
511,Justin Champagnie,"$462,629"
511,David Johnson,"$462,629"
511,Joel Ayayi,"$462,629"
511,Cassius Winston,"$462,629"
534,Justin Anderson,"$445,828"
535,Theo Pinson,"$440,710"
536,Charlie Brown,"$431,151"
537,James Ennis,"$386,127"
537,Langston Galloway,"$386,127"
537,Tim Frazier,"$386,127"
540,Kyle Guy,"$383,079"
541,Sam Dekker,"$350,000"
542,Quinndary Weatherspoon,"$346,491"
543,Brandon Goodwin,"$343,988"
544,Malcolm Hill,"$324,373"
545,Louis King,"$316,396"
546,Justin Jackson,"$308,493"
546,Shaquille Harrison,"$308,493"
546,DJ Wilson,"$308,493"
549,Jeff Dowtin,"$305,761"
550,Trevelin Queen,"$303,102"
550,Paul Watson,"$303,102"
552,Myles Powell,"$300,443"
553,Jontay Porter,"$300,000"
554,Mason Jones,"$295,125"
555,Eugene Omoruyi,"$281,831"
556,Brandon Knight,"$274,672"
557,Justin Robinson,"$265,953"
558,Ja'Vonte Smart,"$265,878"
559,Mychal Mulder,"$257,902"
560,Tyler Johnson,"$257,418"
561,Cassius Stanley,"$256,734"
561,Zylan Cheatham,"$256,734"
563,Devon Dotson,"$239,291"
564,Marcus Garrett,"$236,632"
565,Lindell Wigginton,"$233,973"
566,Jay Huff,"$225,997"
567,Olivier Sarr,"$223,339"
568,Aaron Henry,"$223,338"
569,Freddie Gillespie,"$221,156"
570,JaQuori McLaughlin,"$220,679"
571,Rayjon Tucker,"$220,639"
572,Tacko Fall,"$218,021"
572,Petr Cornelie,"$218,021"
574,Juwan Morgan,"$211,046"
575,Damyean Dotson,"$205,662"
576,Xavier Moon,"$202,069"
577,Tyrone Wallace,"$198,760"
578,Norvel Pelle,"$191,860"
578,Jaylen Hoard,"$191,860"
578,Tremont Waters,"$191,860"
581,Reggie Perry,"$188,272"
582,Devin Cannady,"$185,578"
583,Brandon Williams,"$180,798"
584,Moses Wright,"$172,821"
584,DeJon Jarreau,"$172,821"
586,Dakota Mathias,"$171,156"
586,Matt Mooney,"$171,156"
588,Daulton Hommes,"$167,504"
589,Grant Riller,"$162,186"
590,Lindy Waters III,"$159,527"
591,Joe Johnson,"$151,821"
591,CJ Miles,"$151,821"
591,Ersan Ilyasova,"$151,821"
591,Darren Collison,"$151,821"
591,Anthony Tolliver,"$151,821"
596,Chaundee Brown,"$151,552"
597,Xavier Sneed,"$146,233"
598,Mario Chalmers,"$138,019"
599,Anthony Lamb,"$136,095"
600,Braxton Key,"$127,622"
601,Troy Williams,"$122,741"
602,Feron Hunt,"$116,987"
603,Mac McClung,"$111,670"
604,Matt Ryan,"$111,669"
605,Emmanuel Mudiay,"$111,457"
606,Carlik Jones,"$106,352"
606,Hassani Gravett,"$106,352"
606,Paris Bass,"$106,352"
609,Jordan Bell,"$102,831"
609,Cheick Diallo,"$102,831"
611,DJ Stewart,"$101,034"
612,Nate Hinton,"$96,213"
613,Derrick Walton,"$95,930"
613,DaQuan Jeffries,"$95,930"
613,Justin James,"$95,930"
613,Scotty Hopson,"$95,930"
613,BJ Johnson,"$95,930"
613,Jaylen Morris,"$95,930"
619,Demetrius Jackson,"$92,857"
620,Chris Clemons,"$85,578"
620,Cameron Oliver,"$85,578"
620,Malik Newman,"$85,578"
620,George King,"$85,578"
620,Jemerrio Jones,"$85,578"
620,Emanuel Terry,"$85,578"
626,Jared Harper,"$85,081"
627,Gabriel Lundberg,"$79,764"
628,Anthony Barber,"$53,176"
628,Malik Ellison,"$53,176"
628,Justin Tillman,"$53,176"
628,Tre Scott,"$53,176"
628,Jaysean Paige,"$53,176"
628,Trayvon Palmer,"$53,176"
628,Micah Potter,"$53,176"
628,Ahmad Caver,"$53,176"
628,Shaq Buchanan,"$53,176"
628,Jon Teske,"$53,176"
628,Aric Holman,"$53,176"
628,Javin DeLaurier,"$53,176"
628,Tyler Hall,"$53,176"
628,Rob Edwards,"$53,176"
628,Aleem Ford,"$53,176"
628,MJ Walker,"$53,176"
628,Jarron Cumberland,"$53,176"
628,Cameron McGriff,"$53,176"
628,Ade Murkey,"$53,176"
628,Jaime Echenique,"$53,176"
628,Jordan Goodwin,"$53,176"
628,Jordan Schakel,"$53,176"
628,Craig Sword,"$53,176"
651,Luca Vildoza,"$42,789"
652,Zavier Simpson,"$37,223"
653,Mfiondu Kabengele,"$19,186"
654,Melvin Frazier,"$13,294"
